url,image,name,coach,manager
https://www.pba.ph/teams/alaska-aces,https://dashboard.pba.ph/assets/logo/ALA_web.png,Alaska,Mr. Jeffrey Cariaso,Richard Bachmann
https://www.pba.ph/teams/barangay-ginebra-san-miguel,https://dashboard.pba.ph/assets/logo/GIN_web.png,Barangay Ginebra San Miguel,Mr. Earl Timothy Cone,Mr. Alfrancis Chua
https://www.pba.ph/teams/blackwater-elite,https://dashboard.pba.ph/assets/logo/Blackwater_new_logo_2021.png,Blackwater Elite,Mr. Nash Racela,Mr. Jacob Munez
https://www.pba.ph/teams/globalport-batang-pier,https://dashboard.pba.ph/assets/logo/GLO_web.png,North Port Batang Pier,Mr. Pido Jarencio,Mr. Bonnie Tan
https://www.pba.ph/teams/terrafirma-dyip,https://dashboard.pba.ph/assets/logo/terrafirma.png,Terrafirma Dyip,Mr. John Edel Cardel,Messrs. Joe Lipa and Iby Bautista
https://www.pba.ph/teams/meralco-bolts,https://dashboard.pba.ph/assets/logo/MER_web.png,Meralco Bolts,Mr. Norman Black,Mr. Paolo Trillo
https://www.pba.ph/teams/nlex-road-warriors,https://dashboard.pba.ph/assets/logo/NLX_web.png,NLEX Road Warriors,Mr. Joseller Guiao,Joseller Guiao
https://www.pba.ph/teams/rain-or-shine-elastopainters,https://dashboard.pba.ph/assets/logo/ROS_web.png,Rain or Shine Elastopainters,Mr. Chris Gavina,Atty. Mamerto Mondragon
https://www.pba.ph/teams/san-miguel-beermen,https://dashboard.pba.ph/assets/logo/SMB2020_web.png,San Miguel Beermen,Mr. Leo Austria,Mr. Gelacio Abanilla
https://www.pba.ph/teams/tnt-tropang-giga,https://dashboard.pba.ph/assets/logo/TNT_2020.png,TNT Tropang Giga,Mr. Chot Reyes,Mr. Gabriel Marco Cui
https://www.pba.ph/teams/magnolia-hotshots,https://dashboard.pba.ph/assets/logo/Magnolia_2021.png,Magnolia Hotshots Pambansang Manok,Mr. Chito Victolero,Mr. Alvin Patrimonio
https://www.pba.ph/teams/phoenix-fuelmasters,https://dashboard.pba.ph/assets/logo/phx2020.png,Phoenix Fuel Masters,Mr. Michael Robinson,Mr. Paolo Bugia
